scenario,policy,high_started,high_arrivals,high_started_over_arrivals,high_started_over_arrivals_disp,wait_km_p50_h,wait_km_p90_h,wait_km_p50_disp,wait_km_p90_disp,wait_max_bound_h,wait_max_bound_disp,overline_B95_days,util_mean,util_p95,eow_start_share_mean,eow_start_share_p95,t_end_h,high_censored,seed
S1_normal,CVSS-only,45,56,0.8035714285714286,45/56,69.73097965194665,,69.7,$> 312.8$,740.463518369953,$\ge 740.5$,10.341529883541018,0.883035378930194,0.9868507950264241,0.015625,0.0625,1344.0,11,59
S1_normal,R-risk-only,48,56,0.8571428571428571,48/56,67.13838264874028,582.7094702431775,67.1,582.7,596.198357473288,$\ge 596.2$,7.316946090856097,0.8616474855359815,0.9767384589551303,0.037500000000000006,0.2,1344.0,8,59
S1_normal,RD-only,56,56,1.0,56/56,47.93060654638259,75.73244478577155,47.9,75.7,96.80060497355487,96.8,1.235345901436094,0.842019293860089,0.9755108749514978,0.0,0.0,1344.0,0,59
S1_normal,RD+WGPS,56,56,1.0,56/56,47.93060654638259,75.73244478577155,47.9,75.7,96.80060497355487,96.8,1.235345901436094,0.8599893360927893,0.9769237305797142,0.0,0.0,1344.0,0,59
S2_kev_burst,FIFO,41,52,0.7884615384615384,41/52,260.8631388381177,376.39131681524884,260.9,376.4,389.63338961123634,389.6,8.256799728436233,0.8952649963096384,0.9989653621055476,0.040178571428571425,0.23214285714285715,1344.0,11,59
S2_kev_burst,SPT,51,52,0.9807692307692307,51/52,45.80377921690365,86.09421118099146,45.8,86.1,103.1655082435891,103.2,1.4464079634289937,0.832026745504677,0.9895263731199588,0.0,0.0,1344.0,1,59
S2_kev_burst,CVSS-only,51,52,0.9807692307692307,51/52,51.80330430830793,355.83713709002325,51.8,355.8,912.6821645149012,912.7,14.987548510449066,0.9015923683506708,0.9914643393985286,0.04285714285714286,0.2,1344.0,1,59
S2_kev_burst,R-risk-only,47,52,0.9038461538461539,47/52,60.56992524400607,371.226545582998,60.6,371.2,789.034687623477,$\ge 789.0$,11.620641566226656,0.9034019017332175,0.9875235182556467,0.042261904761904764,0.23333333333333334,1344.0,5,59
S2_kev_burst,RD-only,51,52,0.9807692307692307,51/52,43.18879830549463,86.93484806006461,43.2,86.9,136.89393045092373,136.9,1.5308444811313957,0.8120927315139437,0.9881820939777967,0.0,0.0,1344.0,1,59
S2_kev_burst,RD+WGPS,51,52,0.9807692307692307,51/52,43.18879830549463,86.93484806006461,43.2,86.9,136.89393045092373,136.9,1.5308444811313957,0.8174854155468346,0.9661640921681565,0.0,0.0,1344.0,1,59
S3_lowcap_hetero,FIFO,11,37,0.2972972972972973,11/37,884.3102058752308,,884.3,$> 1013.1$,1071.4918049569624,$\ge 1071.5$,22.443085667983745,0.9078106800612776,0.9788617068136872,0.0,0.0,1344.0,26,59
S3_lowcap_hetero,SPT,28,37,0.7567567567567568,28/37,131.36195818711042,,131.4,$> 649.1$,1311.758011923645,$\ge 1311.8$,27.014647117390414,0.8249541081998844,0.8963138615748455,0.0,0.0,1344.0,9,59
S3_lowcap_hetero,CVSS-only,12,37,0.32432432432432434,12/37,,,$> 213.2$,$> 213.2$,1289.2529991971448,$\ge 1289.3$,26.0413772673076,0.8504492522598375,0.9507402688572973,0.041666666666666664,0.21666666666666648,1344.0,25,59
S3_lowcap_hetero,R-risk-only,11,37,0.2972972972972973,11/37,,,$> 436.3$,$> 436.3$,1259.749375971778,$\ge 1259.7$,25.429742797680017,0.9342027597259628,0.9950095192462165,0.10416666666666666,0.44166666666666654,1344.0,26,59
